Red Square Keyrox TKL Hyperion RSQ-20039,Red Square,True,86,880
VOROTEX P61,VOROTEX,True,61,398
Redragon Hades,Redragon,True,104,830
Defender White GK-172,Defender,True,104,390
Redragon DEFENDER Fizz,Redragon,True,61,410
